0.0E-06         0.0E+00         0       X       1       X       X       X            22    0    R       gamma                   xxx
1.776E+03     	1.59E+02    	0.5	X	3   	-	X	F	    317	   0	R	K(3)*(1780)      	dS              
1.816E+03     	2.76E+02    	0.5	X	2   	-	X	F	  20325	   +	R	K(2)(1820)       	uS              
1.816E+03     	2.76E+02    	0.5	X	2   	-	X	F	  20315	   0	R	K(2)(1820)       	dS              
1830          	250         	0.5	X	0   	-	X	F	9010321	   +	S	K(1830)          	uS              
1830          	250         	0.5	X	0   	-	X	F	9010311	   0	S	K(1830)          	dS              
1.945E+03     	2.0E+02     	0.5	X	0   	+	X	F	9020321	   +	S	K(0)*(1950)      	uS              
1.945E+03     	2.0E+02     	0.5	X	0   	+	X	F	9020311	   0	S	K(0)*(1950)      	dS              
1.973E+03     	3.7E+02     	0.5	X	2   	+	X	F	9010325	   +	S	K(2)*(1980)      	uS              
1.973E+03     	3.7E+02     	0.5	X	2   	+	X	F	9010315	   0	S	K(2)*(1980)      	dS              
2.045E+03     	1.98E+02    	0.5	X	4   	+	X	F	    329	   +	R	K(4)*(2045)      	uS              
2.045E+03     	1.98E+02    	0.5	X	4   	+	X	F	    319	   0	R	K(4)*(2045)      	dS              
2.247E+03     	1.80E+02    	0.5	X	2   	-	X	F	9020325	   +	S	K(2)(2250)       	uS              
2.247E+03     	1.80E+02    	0.5	X	2   	-	X	F	9020315	   0	S	K(2)(2250)       	dS              
2.324E+03     	1.50E+02    	0.5	X	3   	+	X	F	9010327	   +	S	K(3)(2320)       	uS              
2.324E+03     	1.50E+02    	0.5	X	3   	+	X	F	9010317	   0	S	K(3)(2320)       	dS              
2.490E+03     	250         	0.5	X	4   	-	X	F	9000329	   +	S	K(4)(2500)       	uS              
2.490E+03     	250         	0.5	X	4   	-	X	F	9000319	   0	S	K(4)(2500)       	dS              
1.86962E+03   	6.37E-10    	0.5	X	0   	-	X	B	    411	   +	R	D                	cD              
1.86484E+03   	1.616E-09   	0.5	X	0   	-	X	F	    421	   0	R	D                	cU              
2.00697E+03   	2.1         	0.5	X	1   	-	X	F	    423	   0	R	D*(2007)         	cU              
2.01027E+03   	9.6E-02     	0.5	X	1   	-	X	B	    413	   +	R	D*(2010)         	cD              
2.35E+03      	2.6E+02     	0.5	X	0   	+	X	F	  10421	   0	S	D(0)*(2400)      	cU              
2.40E+03      	2.8E+02     	0.5	X	0   	+	X	F	  10411	   +	S	D(0)*(2400)      	cD              
2.4223E+03    	2.04E+01    	0.5	X	1   	+	X	F	  10423	   0	R	D(1)(2420)       	cU              
2.43E+03      	3.8E+02     	0.5	X	1   	+	X	F	  20423	   0	S	D(1)(2430)       	cU              
2.4611E+03    	4.3E+01     	0.5	X	2   	+	X	F	    425	   0	R	D(2)*(2460)      	cU              
2.4601E+03    	3.7E+01     	0.5	X	2   	+	X	B	    415	   +	R	D(2)*(2460)      	cD              
1.96849E+03   	1.325E-09   	0  	X	0   	-	X	B	    431	   +	R	D(s)             	cS              
2.1123E+03    	-1          	0  	X	0   	-	X	B	    433	   +	R	D(s)*            	cS              
2.3178E+03    	10          	0  	X	0   	+	X	B	  10431	   +	R	D(s0)*(2317)     	cS              
2.4596E+03    	6.3         	0  	X	1   	+	X	B	  20433	   +	R	D(s1)(2460)      	cS              
2.5354E+03    	2.5         	0  	X	1   	+	X	B	  10433	   +	R	D(s1)(2536)      	cS              
5.27915E+03   	4.045E-10   	0.5	X	0   	-	X	B	    521	   +	R	B                	uB              
5.27953E+03   	4.331E-10   	0.5	X	0   	-	X	F	    511	   0	R	B                	dB              
5.3251E+03    	-1          	0.5	X	1   	-	X	F	    523	   +	R	B*               	uB              
5.3251E+03    	-1          	0.5	X	1   	-	X	F	    513	   0	R	B*               	dB              
5.7469E+03    	-1          	0.5	X	2   	+	X	F	    525	   +	R	B(2)*(5747)      	uB              
5.7469E+03    	-1          	0.5	X	2   	+	X	F	    515	   0	R	B(2)*(5747)      	dB              
5.3663E+03    	4.65E-10    	0  	X	0   	-	X	F	    531	   0	R	B(s)             	sB              
5.4128E+03    	-1          	0  	X	1   	-	X	F	    533	   0	R	B(s)*            	sB              
5.8397E+03    	-1          	0.5	X	2   	+	X	F	    535	   0	R	B(s2)*(5840)     	sB              
6.276E+03     	1.43E-09    	0  	X	0   	-	X	B	    541	   +	R	B(c)             	cB              
2.9803E+03    	2.67E+01    	0  	+	0   	-	+	X	    441	   0	R	eta(c)(1S)       	cC              
3.096916E+03  	9.32E-02    	0  	-	1   	-	-	X	    443	   0	R	J/psi(1S)        	cC              
3.41475E+03   	1.02E+01    	0  	+	0   	+	+	X	  10441	   0	R	chi(c0)(1P)      	cC              
3.51066E+03   	8.9E-01     	0  	+	1   	+	+	X	  20443	   0	R	chi(c1)(1P)      	cC              
3.55620E+03   	2.03E+00    	0  	+	2   	+	+	X	    445	   0	R	chi(c2)(1P)      	cC              
3.637E+03     	1.4E+01     	0  	+	0   	-	+	X	 100441	   0	R	eta(c)(2S)       	cC              
3.68609E+03   	3.17E-01    	0  	-	1   	-	-	X	 100443	   0	R	psi(2S)          	cC              
3.77292E+03   	2.730E+01   	0  	-	1   	-	-	X	  30443	   0	R	psi(3770)        	cC              
3.929E+03     	2.90E+01    	0  	+	2   	+	+	X	 100445	   0	S	chi(c2)(2P)      	cC              
4.03900E+03   	8.00E+01    	0  	-	1   	-	-	X	9000443	   0	R	psi(4040)        	cC              
4.1530E+03    	1.03E+02    	0  	-	1   	-	-	X	9010443	   0	R	psi(4160)        	cC              
4.421E+03     	6.2E+01     	0  	-	1   	-	-	X	9020443	   0	R	psi(4415)        	cC              
9.300E+03     	-1          	0  	+	0   	-	+	X	    551	   0	S	eta(b)(1S)       	bB              
9.46030E+03   	5.40E-02    	0  	-	1   	-	-	X	    553	   0	R	Upsilon(1S)      	bB              
9.8594E+03    	-1          	0  	+	0   	+	+	X	  10551	   0	R	chi(b0)(1P)      	bB              
9.8928E+03    	-1          	0  	+	1   	+	+	X	  20553	   0	R	chi(b1)(1P)      	bB              
9.9122E+03    	-1          	0  	+	2   	+	+	X	    555	   0	R	chi(b2)(1P)      	bB              
1.002326E+04  	3.20E-02    	0  	-	1   	-	-	X	 100553	   0	R	Upsilon(2S)      	bB              
1.02325E+04   	-1          	0  	+	0   	+	+	X	 110551	   0	R	chi(b0)(2P)      	bB              
1.02555E+04   	-1          	0  	+	1   	+	+	X	 120553	   0	R	chi(b1)(2P)      	bB              
1.02686E+04   	-1          	0  	+	2   	+	+	X	 100555	   0	R	chi(b2)(2P)      	bB              
1.03552E+04   	2.03E-02    	0  	-	1   	-	-	X	 200553	   0	R	Upsilon(3S)      	bB              
1.05794E+04   	2.05E+01    	0  	-	1   	-	-	X	 300553	   0	R	Upsilon(4S)      	bB              
1.0865E+04    	1.10E+02    	0  	-	1   	-	-	X	9000553	   0	R	Upsilon(10860)   	bB              
1.1019E+04    	7.9E+01     	0  	-	1   	-	-	X	9010553	   0	R	Upsilon(11020)   	bB              
9.3827203E+02 	0.0E+00     	0.5	X	0.5 	+	X	F	   2212	   +	R	p(P11)           	uud             
9.3956536E+02 	7.481E-25   	0.5	X	0.5 	+	X	F	   2112	   0	R	n(P11)           	udd             
1.440E+03     	3.00E+02    	0.5	X	0.5 	+	X	F	  12212	   +	R	N(1440)(P11)     	uud             
1.440E+03     	3.00E+02    	0.5	X	0.5 	+	X	F	  12112	   0	R	N(1440)(P11)     	udd             
1.520E+03     	1.150E+02   	0.5	X	1.5 	-	X	F	   2124	   +	R	N(1520)(D13)     	uud             
1.520E+03     	1.150E+02   	0.5	X	1.5 	-	X	F	   1214	   0	R	N(1520)(D13)     	udd             
1.5350E+03    	1.50E+02    	0.5	X	0.5 	-	X	F	  22212	   +	R	N(1535)(S11)     	uud             
1.5350E+03    	1.50E+02    	0.5	X	0.5 	-	X	F	  22112	   0	R	N(1535)(S11)     	udd             
1.6550E+03    	1.65E+02    	0.5	X	0.5 	-	X	F	  32212	   +	D	N(1650)(S11)     	uud             
1.6550E+03    	1.65E+02    	0.5	X	0.5 	-	X	F	  32112	   0	D	N(1650)(S11)     	udd             
1.675E+03     	1.50E+02    	0.5	X	2.5 	-	X	F	   2216	   +	D	N(1675)(D15)     	uud             
1.675E+03     	1.50E+02    	0.5	X	2.5 	-	X	F	   2116	   0	D	N(1675)(D15)     	udd             
1.685E+03     	1.300E+02   	0.5	X	2.5 	+	X	F	  12216	   +	D	N(1680)(F15)     	uud             
1.685E+03     	1.300E+02   	0.5	X	2.5 	+	X	F	  12116	   0	D	N(1680)(F15)     	udd             
1.70E+03      	1.0E+02     	0.5	X	1.5 	-	X	F	  22124	   +	D	N(1700)(D13)     	uud             
1.70E+03      	1.0E+02     	0.5	X	1.5 	-	X	F	  21214	   0	D	N(1700)(D13)     	udd             
1.710E+03     	1.0E+02     	0.5	X	0.5 	+	X	F	  42212	   +	D	N(1710)(P11)     	uud             
1.710E+03     	1.0E+02     	0.5	X	0.5 	+	X	F	  42112	   0	D	N(1710)(P11)     	udd             
1.720E+03     	2.0E+02     	0.5	X	1.5 	+	X	F	  32124	   +	D	N(1720)(P13)     	uud             
1.720E+03     	2.0E+02     	0.5	X	1.5 	+	X	F	  31214	   0	D	N(1720)(P13)     	udd             
2.1900E+03    	5.0E+02     	0.5	X	3.5 	-	X	F	   2128	   +	D	N(2190)(G17)     	uud             
2.1900E+03    	5.0E+02     	0.5	X	3.5 	-	X	F	   1218	   0	D	N(2190)(G17)     	udd             
1.23200E+03   	1.180E+02   	1.5	X	1.5 	+	X	F	   2224	  ++	R	Delta(1232)(P33) 	uuu             
1.23200E+03   	1.180E+02   	1.5	X	1.5 	+	X	F	   2214	   +	R	Delta(1232)(P33) 	uud             
1.23200E+03   	1.180E+02   	1.5	X	1.5 	+	X	F	   2114	   0	R	Delta(1232)(P33) 	udd             
1.23200E+03   	1.180E+02   	1.5	X	1.5 	+	X	F	   1114	   -	R	Delta(1232)(P33) 	ddd             
1.60E+03      	3.50E+02    	1.5	X	1.5 	+	X	F	  32224	  ++	R	Delta(1600)(P33) 	uuu             
1.60E+03      	3.50E+02    	1.5	X	1.5 	+	X	F	  32214	   +	R	Delta(1600)(P33) 	uud             
1.60E+03      	3.50E+02    	1.5	X	1.5 	+	X	F	  32114	   0	R	Delta(1600)(P33) 	udd             
1.60E+03      	3.50E+02    	1.5	X	1.5 	+	X	F	  31114	   -	R	Delta(1600)(P33) 	ddd             
1.630E+03     	1.45E+02    	1.5	X	0.5 	-	X	F	   2222	  ++	R	Delta(1620)(S31) 	uuu             
1.630E+03     	1.45E+02    	1.5	X	0.5 	-	X	F	   2122	   +	R	Delta(1620)(S31) 	uud             
1.630E+03     	1.45E+02    	1.5	X	0.5 	-	X	F	   1212	   0	R	Delta(1620)(S31) 	udd             
1.630E+03     	1.45E+02    	1.5	X	0.5 	-	X	F	   1112	   -	R	Delta(1620)(S31) 	ddd             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  12224	  ++	D	Delta(1700)(D33) 	uuu             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  12214	   +	D	Delta(1700)(D33) 	uud             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  12114	   0	D	Delta(1700)(D33) 	udd             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  11114	   -	D	Delta(1700)(D33) 	ddd             
1.90E+03      	2.0E+02     	1.5	X	0.5 	-	X	F       9012222	  ++	S	Delta(1900)(S31) 	uuu
1.90E+03      	2.0E+02     	1.5	X	0.5 	-	X	F       9012212	   +	S	Delta(1900)(S31) 	uud
1.90E+03      	2.0E+02     	1.5	X	0.5 	-	X	F       9012112	   0	S	Delta(1900)(S31) 	udd
1.90E+03      	2.0E+02     	1.5	X	0.5 	-	X	F       9011112	   -	S	Delta(1900)(S31) 	ddd
1.890E+03     	3.3E+02     	1.5	X	2.5 	+	X	F	   2226	  ++	D	Delta(1905)(F35) 	uuu             
1.890E+03     	3.3E+02     	1.5	X	2.5 	+	X	F	   2126	   +	D	Delta(1905)(F35) 	uud             
1.890E+03     	3.3E+02     	1.5	X	2.5 	+	X	F	   1216	   0	D	Delta(1905)(F35) 	udd             
1.890E+03     	3.3E+02     	1.5	X	2.5 	+	X	F	   1116	   -	D	Delta(1905)(F35) 	ddd             
1.9100E+03    	2.50E+02    	1.5	X	0.5 	+	X	F	  22222	  ++	D	Delta(1910)(P31) 	uuu             
1.9100E+03    	2.50E+02    	1.5	X	0.5 	+	X	F	  22122	   +	D	Delta(1910)(P31) 	uud             
1.9100E+03    	2.50E+02    	1.5	X	0.5 	+	X	F	  21212	   0	D	Delta(1910)(P31) 	udd             
1.9100E+03    	2.50E+02    	1.5	X	0.5 	+	X	F	  21112	   -	D	Delta(1910)(P31) 	ddd             
1.920E+03     	2.0E+02     	1.5	X	1.5 	+	X	F	  22224	  ++	D	Delta(1920)(P33) 	uuu             
1.920E+03     	2.0E+02     	1.5	X	1.5 	+	X	F	  22214	   +	D	Delta(1920)(P33) 	uud             
1.920E+03     	2.0E+02     	1.5	X	1.5 	+	X	F	  22114	   0	D	Delta(1920)(P33) 	udd             
1.920E+03     	2.0E+02     	1.5	X	1.5 	+	X	F	  21114	   -	D	Delta(1920)(P33) 	ddd             
1.96E+03      	3.6E+02     	1.5	X	2.5 	-	X	F	  12226	  ++	D	Delta(1930)(D35) 	uuu             
1.96E+03      	3.6E+02     	1.5	X	2.5 	-	X	F	  12126	   +	D	Delta(1930)(D35) 	uud             
1.96E+03      	3.6E+02     	1.5	X	2.5 	-	X	F	  11216	   0	D	Delta(1930)(D35) 	udd             
1.96E+03      	3.6E+02     	1.5	X	2.5 	-	X	F	  11116	   -	D	Delta(1930)(D35) 	ddd             
1.930E+03     	2.8E+02     	1.5	X	3.5 	+	X	F	   2228	  ++	D	Delta(1950)(F37) 	uuu             
1.930E+03     	2.8E+02     	1.5	X	3.5 	+	X	F	   2218	   +	D	Delta(1950)(F37) 	uud             
